X_LL,Y_LL,Sample#,Grain#,Mineral Identification,Mineral,TiO2,Cr2O3,FeO,MgO,CaO,SiO2,Al2O3,Na2O,MnO,Total,NiO,ZnO,Class
-115.307217,56.163817,NAT97-169,57,G_05_MAGNESIAN_ALMANDINE  ,Garnet,0.03,0.03,28.1,4.21,6.92,37.29,20.93,0,0.38,97.88,,,A
-115.75395,56.847233,NAT96-216,59,G_09_CHROME_PYROPE  ,Garnet,0,3.44,7.82,19.33,5.05,40.14,21.66,0.01,0.43,97.88,,,D
-115.213133,56.576333,NAT97-167,50,ALMANDINE  ,Garnet,0.04,0,30.84,1.82,6.62,36.8,20.72,0.05,0.92,97.81,,,C
-118.090833,54.576417,NAT96-197,76,G_05_MAGNESIAN_ALMANDINE  ,Garnet,0.06,0.02,29.54,5.35,4.45,37.31,20.75,0,0.3,97.79,,,B
-115.75395,56.847233,NAT96-216,19,G_10_LOW_CALCIUM_CHROME_PYROPE  ,Garnet,0.21,6.66,8.32,18.32,5.48,39.63,18.71,0.06,0.39,97.77,,,E
-116.771667,57.566944,NAT95-144,121,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.06,0.04,11.38,0.01,23.75,37.51,24.95,0,0.01,97.71,,,A
-119.7898,54.92245,NAT96-212,93,UNKNOWN  (Grossular?),Garnet,0.29,0.04,8.27,0.06,23.38,38.2,27.29,0.01,0.15,97.69,,,D
-112.946578,55.138726,NAT95-126,127,G_07_FER-MAG_UVAROVITE_GROSSULAR  ,Garnet,0.38,14.67,2.46,0.27,33.37,36.83,9.01,0.01,0.55,97.55,,,B
-115.317908,56.764752,NAT95-135,88,ALMANDINE  ,Garnet,0.04,0.02,30.99,2.09,6.9,36.51,20.46,0,0.5,97.51,,,E
-115.75395,56.847233,NAT96-216,85,G_09_CHROME_PYROPE  ,Garnet,0.1,4.99,7.83,17.31,6.17,41.59,18.93,0.1,0.42,97.46,,,D
-116.170293,58.735294,NAT95-155,69,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.09,0.04,12.6,0.02,23.45,37.55,23.48,0.01,0.14,97.38,,,B
-115.75395,56.847233,NAT96-216,60,G_09_CHROME_PYROPE  ,Garnet,0.02,5.09,7.54,18.62,5.58,39.41,20.38,0.01,0.57,97.23,,,D
-118.646324,54.228147,NAT96-177,5,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.12,0,13.29,0.03,22.25,37,24.06,0,0.44,97.2,,,C
-115.753433,56.847983,NAT95-134,63,G_09_CHROME_PYROPE  ,Garnet,0.32,5.09,8.01,18.52,5.54,38.69,20.38,0.04,0.6,97.2,,,A
-115.753433,56.847983,NAT95-134,75,G_09_CHROME_PYROPE  ,Garnet,0.07,4.44,6.93,18.51,5.53,40.41,20.72,0,0.43,97.04,,,C
-113.800569,55.946071,NAT95-130,43,G_05_MAGNESIAN_ALMANDINE  ,Garnet,0,0.13,22.98,12.36,1.05,36.78,23.4,0,0.29,97.01,,,A
-115.75395,56.847233,NAT96-216,98,G_05_MAGNESIAN_ALMANDINE  ,Garnet,0.07,0.09,30.22,2.64,6.74,35.33,20.37,0,1.44,96.89,,,B
-115.75395,56.847233,NAT96-216,100,G_09_CHROME_PYROPE  ,Garnet,0,2.05,10.25,17.8,4.91,39.94,21.25,0.02,0.65,96.87,,,A
-117.434254,56.944689,LEL94-6,92,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.01,0,13.95,0.01,22.96,37.2,22.7,0.01,0,96.84,,,D
-118.99801,54.34899,NAT96-181,6,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.08,0.04,13.11,0.05,22.79,35.9,24.45,0.01,0.21,96.62,,,B
-115.75395,56.847233,NAT96-216,40,G_09_CHROME_PYROPE  ,Garnet,0,4.12,7.36,19.3,4.86,39.98,20.49,0.04,0.46,96.61,,,D
-115.753433,56.847983,NAT95-134,30,G_08_FERRO_MAGNESIAN_GROSSULAR  ,Garnet,0.19,0.02,13.01,0.02,22.68,37.38,23.07,0.02,0.09,96.49,,,E
