HOLEID,PROJECTCODE,SAMPLENO,FROM,TO,MidEast,MidNorth,MidRL,SAMPLETYPE,PRIORITY,Au_ppb,Zn_pct
19DD0002,CU_CLIFF,40377879,254.53,257,101603.7553,2189135.544,992.8611533,QuarterCore,1,3,0.00301
19DD0002,CU_CLIFF,40377881,257,260,101603.5687,2189135.165,990.1590579,QuarterCore,1,6,0.00634
19DD0002,CU_CLIFF,40377882,260,263,101603.364,2189134.749,987.1951506,QuarterCore,1,2,0.00052
19DD0002,CU_CLIFF,40377883,263,266,101603.1575,2189134.333,984.2312366,QuarterCore,1,2,0.00026
19DD0002,CU_CLIFF,40377885,266,269,101602.9492,2189133.919,981.2673158,QuarterCore,1,3,0.00032
19DD0002,CU_CLIFF,40377886,269,272,101602.7409,2189133.504,978.303395,QuarterCore,1,2,0.00029
19DD0002,CU_CLIFF,40377887,272,275,101602.5308,2189133.091,975.3394716,QuarterCore,1,3,0.00025
19DD0002,CU_CLIFF,40377888,275,278,101602.3191,2189132.678,972.3755458,QuarterCore,1,2,0.00032
19DD0002,CU_CLIFF,40377889,278,281,101602.1074,2189132.265,969.41162,QuarterCore,1,6,0.00322
19DD0002,CU_CLIFF,40377891,281,284,101601.8941,2189131.854,966.4476419,QuarterCore,1,3,0.00051
19DD0002,CU_CLIFF,40377892,284,287,101601.6791,2189131.443,963.4836114,QuarterCore,1,7,0.00579
19DD0002,CU_CLIFF,40377893,287,290,101601.4641,2189131.033,960.519581,QuarterCore,1,8,0.00083
19DD0002,CU_CLIFF,40377894,290,293,101601.2475,2189130.624,957.5554885,QuarterCore,1,21,0.01795
19DD0002,CU_CLIFF,40377895,293,296,101601.0293,2189130.217,954.5913341,QuarterCore,1,9,0.00189
19DD0002,CU_CLIFF,40377896,296,299,101600.8112,2189129.809,951.6271797,QuarterCore,1,10,0.00254
19DD0002,CU_CLIFF,40377897,299,302,101600.5914,2189129.403,948.662962,QuarterCore,1,10,0.00079
19DD0002,CU_CLIFF,40377898,302,305,101600.37,2189128.998,945.6986811,QuarterCore,1,9,0.00206
19DD0002,CU_CLIFF,40377899,305,308,101600.1487,2189128.593,942.7344003,QuarterCore,1,11,0.00098
